"SerialNumber",Station,Waste Stream,Customer,Description,Status,Latitude,Longitude
1400812,yes,Trash,NYC Alliance for Downtown New York,N/W/C Barclays St & Church St,In Service,40.71282313218719,-74.00978666044864
1400812-L,yes,Bottles/Cans,NYC Alliance for Downtown New York,N/W/C Barclays St & Church St,In Service,40.71282313218719,-74.00978666044864
1401726,yes,Trash,NYC Alliance for Downtown New York,N/W/C Battery Pl & Broadway,In Service,40.70472099995265,-74.0143073681055
1401726-R,yes,Paper,NYC Alliance for Downtown New York,N/W/C Battery Pl & Broadway,In Service,40.70472099995265,-74.0143073681055
1401727,yes,Trash,NYC Alliance for Downtown New York,S/E/C Broadway & Pine St.,In Service,40.7082627389529,-74.011272064418
1401727-R,yes,Paper,NYC Alliance for Downtown New York,S/E/C Broadway & Pine St.,In Service,40.7082627389529,-74.011272064418
1401728,yes,Trash,NYC Alliance for Downtown New York,N/E/C Water St. & Broad St,In Service,40.702908365523854,-74.01141374047546
1401728-R,yes,Paper,NYC Alliance for Downtown New York,N/E/C Water St. & Broad St,In Service,40.702908365523854,-74.01141374047546
1401729,yes,Trash,NYC Alliance for Downtown New York,N/W/C John St & Water St,In Service,40.706933097511474,-74.0049763423279
1401729-R,yes,Paper,NYC Alliance for Downtown New York,N/W/C John St & Water St,In Service,40.706933097511474,-74.0049763423279
1401730,yes,Trash,NYC Alliance for Downtown New York,N/W/C Park PL & Broadway,In Service,40.712643827966936,-74.00776688161471
1401730-L,yes,Paper,NYC Alliance for Downtown New York,N/W/C Park PL & Broadway,In Service,40.712643827966936,-74.00776688161471
1401731,yes,Trash,NYC Alliance for Downtown New York,N/W/C Church St & Cortland St.,In Service,40.71040363104798,-74.01106269507176
1401731-R,yes,Paper,NYC Alliance for Downtown New York,N/W/C Church St & Cortland St.,In Service,40.71040363104798,-74.01106269507176
1401732,yes,Trash,NYC Alliance for Downtown New York,S/W/C Broadway & Vesey St,In Service,40.71137993004505,-74.00876108836053
1401732-R,yes,Paper,NYC Alliance for Downtown New York,S/W/C Broadway & Vesey St,In Service,40.71137993004505,-74.00876108836053
1401733,yes,Trash,NYC Alliance for Downtown New York,N/W/C Gold St & Fulton St,In Service,40.70919525701521,-74.00550213359071
1401733-R,yes,Paper,NYC Alliance for Downtown New York,N/W/C Gold St & Fulton St,In Service,40.70919525701521,-74.00550213359071
1401734,yes,Trash,NYC Alliance for Downtown New York,N/E/C Beaver St & Broadway,In Service,40.7050667329864,-74.01325378954925
1401734-R,yes,Paper,NYC Alliance for Downtown New York,N/E/C Beaver St & Broadway,In Service,40.7050667329864,-74.01325378954925
1401735,yes,Trash,NYC Alliance for Downtown New York,N/E/C Water St. & Whitehall St.,In Service,40.702418125909695,-74.01274273187715
1401735-R,yes,Paper,NYC Alliance for Downtown New York,N/E/C Water St. & Whitehall St.,In Service,40.702418125909695,-74.01274273187715
1401736,yes,Trash,NYC Alliance for Downtown New York,S/E/C Fulton St & Nassau St,In Service,40.710111424390185,-74.00766482488405
1401736-R,yes,Paper,NYC Alliance for Downtown New York,S/E/C Fulton St & Nassau St,In Service,40.710111424390185,-74.00766482488405
1401737,yes,Trash,NYC Alliance for Downtown New York,N/W/C Water St & Wall St,In Service,40.7052489659961,-74.007389471164
1401737-R,yes,Paper,NYC Alliance for Downtown New York,N/W/C Water St & Wall St,In Service,40.7052489659961,-74.007389471164
1401738,yes,Trash,NYC Alliance for Downtown New York,N/E/C Maiden La & Broadway,In Service,40.7098217336504,-74.0098086674591
1401738-R,yes,Paper,NYC Alliance for Downtown New York,N/E/C Maiden La & Broadway,In Service,40.7098217336504,-74.0098086674591
1401739,yes,Trash,NYC Alliance for Downtown New York,N/E/C Barclay & W Broadway,In Service,40.713301132275134,-74.01085857420503
1401739-R,yes,Paper,NYC Alliance for Downtown New York,N/E/C Barclay & W Broadway,In Service,40.713301132275134,-74.01085857420503
1401740,yes,Trash,NYC Alliance for Downtown New York,S/W/C Broadway & Rector St.,In Service,40.7073969345211,-74.0120977460327
1401740-R,yes,Paper,NYC Alliance for Downtown New York,S/W/C Broadway & Rector St.,In Service,40.7073969345211,-74.0120977460327
1401741,yes,Trash,NYC Alliance for Downtown New York,N/W/C Beaver St & William St.,In Service,40.70521189959318,-74.0101068951065
1401741-R,yes,Paper,NYC Alliance for Downtown New York,N/W/C Beaver St & William St.,In Service,40.70521189959318,-74.0101068951065
1502200,yes,Trash,NYC Alliance for Downtown New York,SWC Broadway & Dey,In Service,40.710426202127216,-74.0096079460327
1502200-L,yes,Bottles/Cans,NYC Alliance for Downtown New York,SWC Broadway & Dey,In Service,40.710426202127216,-74.0096079460327
2403816,yes,Trash,NYC Alliance for Downtown New York,N/E/C Vesey St & Church St,In Service,40.7121209979447,-74.01004448157994
