tripId,starttime,day,level,time1at96,travelTimeLocal,travelTimeExpress,switch
074150_1..S02X021,741,6,0,1456681653,660,3165,0
074950_1..S02X021,749,6,0,1456682249,660,2569,0
075750_1..S02X021,757,6,0,1456682654,750,2164,0
076550_1..S02X021,765,6,0,1456683120,660,1698,0
078950_1..S02X021,789,6,0,1456684524,660,941,0
079750_1..S02X021,797,6,0,1456685117,660,915,0
080550_1..S02X021,805,6,0,1456685532,750,500,1
081350_1..S02X021,813,6,0,1456686000,660,887,0
082150_1..S02X021,821,6,0,1456686480,660,780,0
082950_1..S02X021,829,6,0,1456686960,750,1020,0
083750_1..S02X021,837,6,0,1456687440,660,540,1
084550_1..S02X021,845,6,0,1456687920,660,780,0
085350_1..S02X021,853,6,0,1456688400,750,1020,0
086150_1..S02X021,861,6,0,1456688880,660,540,1
086950_1..S02X021,869,6,0,1456689360,660,780,0
087750_1..S02X021,877,6,0,1456689840,750,1020,0
088550_1..S02X021,885,6,1,1456690320,974,540,1
089350_1..S02X021,893,6,0,1456690800,660,780,0
090150_1..S02X021,901,6,0,1456691280,750,1020,0
090950_1..S02X021,909,6,0,1456691760,660,540,1
091750_1..S02X021,917,6,0,1456692240,660,780,0
092550_1..S02X021,925,6,0,1456692720,750,1020,0
093350_1..S02X021,933,6,0,1456693200,660,540,1
094150_1..S02X021,941,6,0,1456693680,660,780,0
094950_1..S02X021,949,6,0,1456694160,750,1020,0
095750_1..S02X021,957,6,0,1456694640,660,540,1
103000_1..S02R,1030,0,0,1457991433,690,505,1
103550_1..S07R,1035,0,0,1457991605,690,1078,0
104200_1..S02R,1042,0,0,1457992212,690,471,1
104600_1..S02R,1046,0,0,1457992517,690,1043,0
105050_1..S02R,1050,0,0,1457992765,690,795,0
105550_1..S,1055,0,0,1457992920,690,640,1
105550_1..S02R,1055,0,0,1457992952,690,608,1
106050_1..S02R,1060,0,0,1457993220,690,592,1
106550_1..S02R,1065,0,0,1457993520,690,850,0
107050_1..S02R,1070,0,0,1457993820,690,550,1
107550_1..S02R,1075,0,0,1457994120,690,690,0
107850_1..S02R,1078,0,0,1457994420,690,840,0
108550_1..S02R,1085,0,0,1457994720,690,540,1
109050_1..S02R,1090,0,0,1457995020,690,720,0
109550_1..S02R,1095,0,0,1457995320,690,900,0
110050_1..S02R,1100,0,0,1457995620,690,600,1
110550_1..S02R,1105,0,0,1457995920,690,750,0
130150_1..S02R,1301,2,0,1458094073,660,393,1
130650_1..S02R,1306,2,0,1458094370,660,801,0
131450_1..S02R,1314,2,0,1458094829,660,1155,0
132450_1..S02R,1324,2,0,1458095460,660,524,1
133450_1..S02R,1334,2,0,1458096060,660,534,1
134450_1..S02R,1344,2,0,1458096660,660,690,0
135450_1..S02R,1354,2,0,1458097260,660,810,0
000650_1..S02X018,6,2,0,1458102780,660,1260,0
002550_1..S02X018,25,2,0,1458103920,660,1320,0
004550_1..S02X018,45,2,0,1458105120,660,1320,0
059950_1..S02X013,599,5,0,1458398159,660,584,1
060750_1..S02X013,607,5,0,1458398261,660,482,1
061550_1..S02X013,615,5,0,1458398508,660,1071,0
062350_1..S02X013,623,5,0,1458399004,660,575,1
063150_1..S02X013,631,5,0,1458399480,660,642,1
063950_1..S02X013,639,5,0,1458399960,660,900,0
064750_1..S02X013,647,5,0,1458400440,660,1140,0
065550_1..S02X013,655,5,0,1458400920,660,660,0
066350_1..S02X013,663,5,0,1458401400,660,900,0
067150_1..S02X013,671,5,0,1458401880,660,1140,0
067950_1..S02X013,679,5,0,1458402360,660,660,0
133450_1..S02R,1334,2,0,1458096069,660,7971,0
134450_1..S02R,1344,2,0,1458096532,660,7508,0
135450_1..S02R,1354,2,0,1458097260,660,6780,0
136450_1..S02R,1364,2,0,1458097860,660,6180,0
137450_1..S02R,1374,2,0,1458098460,660,5580,0
138450_1..S02R,1384,2,0,1458099060,660,4980,0
140650_1..S02R,1406,2,0,1458100479,660,3561,0
141850_1..S02R,1418,2,1,1458101193,636,2847,0
143250_1..S02R,1432,2,0,1458101945,660,2095,0
078350_1..S02X013,783,5,0,1458408675,660,654,1
079150_1..S02X013,791,5,0,1458409095,660,490,1
079950_1..S02X013,799,5,0,1458409524,660,681,0
080750_1..S02X013,807,5,0,1458410047,660,947,0
081550_1..S02X013,815,5,0,1458410520,660,474,1
082350_1..S02X013,823,5,0,1458411000,660,660,0
083150_1..S02X013,831,5,0,1458411480,660,900,0
083950_1..S02X013,839,5,0,1458411960,660,1140,0
084750_1..S02X013,847,5,0,1458412440,660,660,0
085550_1..S02X013,855,5,0,1458412920,660,900,0
086350_1..S02X013,863,5,0,1458413400,660,1140,0
086750_1..S02X013,867,5,0,1458413640,660,900,0
087150_1..S02X013,871,5,0,1458413880,660,660,0
087950_1..S02X013,879,5,0,1458414360,660,900,0
088750_1..S02X013,887,5,0,1458414840,660,1804,0
089550_1..S02X013,895,5,0,1458415320,660,1324,0
089900_1..S02X013,899,5,0,1458415530,660,1114,0
090350_1..S02X013,903,5,1,1458415800,830,900,0
091150_1..S02X013,911,5,0,1458416280,660,420,1
091950_1..S02X013,919,5,0,1458416760,660,660,0
092750_1..S02X013,927,5,0,1458417240,660,900,0
093550_1..S02X013,935,5,0,1458417720,660,1140,0
094350_1..S02X013,943,5,0,1458418200,660,660,0
095150_1..S02X013,951,5,0,1458418680,660,900,0
095950_1..S02X013,959,5,0,1458419160,660,1140,0
096750_1..S02X013,967,5,0,1458419640,660,660,0
100750_1..S02X013,1007,5,0,1458421999,660,788,0
101550_1..S02X013,1015,5,0,1458422611,660,523,1
102350_1..S02X013,1023,5,0,1458422900,660,889,0
103150_1..S02X013,1031,5,0,1458423480,660,1236,0
103950_1..S02X013,1039,5,0,1458423960,660,756,0
104750_1..S02X013,1047,5,0,1458424440,660,900,0
105550_1..S02X013,1055,5,0,1458424920,660,1110,0
106350_1..S02X013,1063,5,0,1458425400,660,630,1
107150_1..S02X013,1071,5,0,1458425880,660,870,0
107950_1..S02X013,1079,5,0,1458426360,660,1110,0
108750_1..S02X013,1087,5,0,1458426840,660,630,1
109550_1..S02X013,1095,5,0,1458427320,660,870,0
110350_1..S02X013,1103,5,0,1458427800,660,1110,0
111150_1..S02X013,1111,5,0,1458428280,660,630,1
111950_1..S02X013,1119,5,0,1458428760,660,150,1
112750_1..S02X013,1127,5,0,1458429240,660,1110,0
113550_1..S02X013,1135,5,0,1458429720,660,630,1
114350_1..S02X013,1143,5,0,1458430200,660,870,0
115150_1..S02X013,1151,5,0,1458430680,660,1110,0
115950_1..S02X013,1159,5,0,1458431160,660,630,1
116750_1..S02X013,1167,5,0,1458431640,660,870,0
117550_1..S02X013,1175,5,0,1458432120,660,1110,0
118350_1..S02X013,1183,5,0,1458432600,660,630,1
095400_1..S07R,954,0,0,1457986876,690,579,1
095650_1..S02R,956,0,0,1457986949,690,506,1
096100_1..S02R,961,0,0,1457987236,690,649,1
096650_1..S07R,966,0,0,1457987545,690,500,1
096900_1..S02R,969,0,0,1457987705,690,775,0
097300_1..S02R,973,0,0,1457987949,690,531,1
097700_1..S02R,977,0,0,1457988185,690,743,0
098250_1..S07R,982,0,0,1457988450,690,478,1
098500_1..S02R,985,0,0,1457988690,690,555,1
098900_1..S02R,989,0,0,1457988930,690,576,1
099300_1..S02R,993,0,0,1457989170,690,660,1
099850_1..S07R,998,0,0,1457989410,690,840,0
100100_1..S02R,1001,0,0,1457989650,690,600,1
100500_1..S02R,1005,0,0,1457989890,690,780,0
101050_1..S07R,1010,0,0,1457990130,690,540,1
101300_1..S02R,1013,0,0,1457990370,690,720,0
101700_1..S02R,1017,0,0,1457990610,690,480,1
102100_1..S02R,1021,0,0,1457990850,690,660,1
102600_1..S02R,1026,0,0,1457991150,690,780,0
103000_1..S02R,1030,0,0,1457991390,690,540,1
103550_1..S07R,1035,0,0,1457991630,690,780,0
103800_1..S02R,1038,0,0,1457991870,690,540,1
104200_1..S02R,1042,0,0,1457992110,690,780,0
104600_1..S02R,1046,0,0,1457992350,690,540,1
105050_1..S02R,1050,0,0,1457992620,690,750,0
105550_1..S02R,1055,0,0,1457992920,690,930,0
106050_1..S02R,1060,0,0,1457993220,690,630,1
